Price (Dollar),discount_percentage,price_before_discount,rating_out_of_5,number_of_ratings,brand,Storage (GB),screen_size (Inches),Price_Category
315.99,0.0,315.99,4.1,1859.0,138,128.0,6.9,1
71.99,40.0,119.99,4.0,1847.0,103,32.0,6.75,0
59.99,0.0,59.99,4.1,1846.0,169,1.0,5.34,0
89.0,0.0,89.0,3.8,1814.0,138,32.0,6.5,0
275.0,16.41,329.0,4.3,1809.0,138,128.0,6.4,1
199.99,0.0,199.99,4.3,1786.0,15,64.0,4.7,0
168.98,0.0,168.98,4.2,1774.0,108,124.0,6.0,0
349.99,0.0,349.99,4.5,1762.0,73,6.0,5.81,1
229.99,7.99,249.95,4.2,1759.0,108,256.0,6.8,1
145.99,12.05,166.0,4.0,1759.0,138,128.0,6.7,0
82.79,10.95,92.97,4.4,1722.0,188,64.0,6.53,0
204.9,0.0,204.9,4.0,1718.0,138,128.0,6.2,1
199.99,0.0,199.99,4.1,1682.0,138,128.0,6.2,0
86.0,4.53,90.08,3.8,1670.0,138,32.0,6.5,0
49.99,0.0,49.99,3.9,1600.0,169,32.0,5.45,0
178.0,40.66,299.99,3.9,1596.0,138,128.0,6.5,0
89.99,0.0,89.99,4.4,1568.0,169,16.0,5.0,0
289.36,0.0,289.36,3.9,1566.0,138,128.0,6.7,1
220.0,0.0,220.0,4.3,1542.0,138,64.0,6.3,1
376.2,0.0,376.2,4.3,1531.0,119,8.0,6.7,1
62.44,6.81,67.0,3.9,1502.0,32,16.0,2.8,0
205.0,65.83,599.97,4.0,1470.0,138,128.0,6.2,1
114.99,8.0,124.99,4.0,1463.0,138,128.0,6.5,0
84.0,0.0,84.0,4.2,1453.0,102,64.0,6.1,0
254.73,52.39,534.99,3.9,1417.0,73,12.0,6.7,1
129.0,0.0,129.0,4.2,1406.0,108,8.0,4.5,0
456.0,0.0,456.0,4.0,1403.0,138,256.0,7.6,2
159.99,8.57,174.99,4.3,1385.0,188,6.0,6.43,0
236.0,0.0,236.0,4.0,1334.0,138,128.0,6.7,1
92.0,7.04,98.97,3.8,1333.0,138,64.0,6.5,0
79.99,0.0,79.99,2.8,1322.0,50,1.0,1.8,0
329.99,0.0,329.99,4.3,1305.0,108,256.0,6.8,1
79.99,8.05,86.99,3.5,1291.0,50,1.0,2.4,0
104.99,0.0,104.99,3.9,1282.0,138,64.0,6.4,0
399.99,0.0,399.99,4.4,1274.0,138,128.0,6.5,1
99.99,41.18,169.99,4.0,1260.0,108,32.0,6.5,0
142.49,0.0,142.49,4.1,1245.0,138,128.0,6.5,0
236.0,0.0,236.0,4.2,1242.0,138,128.0,6.7,1
119.99,0.0,119.99,4.1,1234.0,23,128.0,6.5,0
161.95,0.0,161.95,4.3,1231.0,108,4.0,6.8,0
199.99,0.0,199.99,4.1,1226.0,102,8.0,2.8,0
105.89,0.0,105.89,3.9,1212.0,138,32.0,6.5,0
139.95,12.52,159.98,4.0,1203.0,73,128.0,5.0,0
72.0,6.29,76.83,3.8,1198.0,138,32.0,5.0,0
83.49,0.0,83.49,4.0,1192.0,138,32.0,6.4,0
189.99,0.0,189.99,4.2,1179.0,179,6.0,3.0,0
289.72,0.0,289.72,4.2,1176.0,138,128.0,6.4,1
164.0,65.76,478.98,4.1,1176.0,138,128.0,6.5,0
159.99,0.0,159.99,4.3,1155.0,188,8.0,6.79,0
499.99,0.0,499.99,4.2,1150.0,138,64.0,3.0,2
269.99,0.0,269.99,4.6,1145.0,188,128.0,6.43,1
23.99,0.0,23.99,3.6,1144.0,83,2.0,2.5,0
59.98,7.69,64.98,4.0,1138.0,8,16.0,5.0,0
154.99,0.0,154.99,4.5,1137.0,188,128.0,6.67,0
549.99,8.33,599.99,4.5,1129.0,138,128.0,6.4,2
44.95,0.0,44.95,3.7,1106.0,192,16.0,5.0,0
178.15,0.0,178.15,4.3,1100.0,188,256.0,6.43,0
279.99,0.0,279.99,3.9,1083.0,138,128.0,6.4,1
197.0,0.0,197.0,3.9,1064.0,138,128.0,6.4,0
608.0,0.0,608.0,4.2,1039.0,15,128.0,6.7,2
219.99,63.33,599.99,4.2,1038.0,119,128.0,6.55,1
247.99,68.28,781.8,4.0,1033.0,138,256.0,6.2,1
32.99,0.0,32.99,3.5,1023.0,18,32.0,2.4,0
114.0,42.92,199.72,4.0,1023.0,138,64.0,6.5,0
204.0,5.48,215.82,3.8,1014.0,102,128.0,6.8,1
299.99,0.0,299.99,4.0,1008.0,31,256.0,6.58,1
219.99,0.0,219.99,4.3,1006.0,73,4.0,6.3,1
105.3,0.0,105.3,4.1,1001.0,138,64.0,6.4,0
158.98,14.05,184.96,4.4,984.0,108,8.0,6.5,0
229.99,0.0,229.99,4.3,975.0,138,128.0,6.5,1
199.0,0.0,199.0,3.9,971.0,73,128.0,6.1,0
199.59,9.27,219.99,4.4,969.0,138,64.0,6.3,0
899.0,7.22,969.0,4.3,960.0,133,512.0,6.8,2
90.0,0.0,90.0,4.4,957.0,81,256.0,6.53,0
198.99,8.3,217.0,4.1,955.0,143,128.0,6.2,0
74.99,0.0,74.99,3.7,954.0,90,8.0,2.8,0
249.99,16.67,299.99,4.3,944.0,119,128.0,6.7,1
149.99,0.0,149.99,4.5,933.0,138,128.0,6.5,0
109.31,0.0,109.31,4.3,925.0,138,64.0,6.4,0
84.99,0.0,84.99,3.7,907.0,192,32.0,6.0,0
283.69,0.0,283.69,4.6,903.0,188,256.0,6.67,1
79.74,20.25,99.99,3.8,897.0,158,32.0,5.5,0
149.0,0.0,149.0,4.5,876.0,119,128.0,6.4,0
118.94,60.35,299.98,4.1,872.0,73,64.0,5.7,0
91.78,0.0,91.78,4.1,870.0,73,64.0,6.3,0
49.99,0.0,49.99,3.7,869.0,172,16.0,2.5,0
144.95,8.84,159.0,3.8,865.0,73,128.0,6.2,0
98.0,0.0,98.0,3.8,864.0,113,512.0,6.52,0
115.0,22.79,148.94,4.3,860.0,169,64.0,6.5,0
219.99,0.0,219.99,4.1,853.0,138,32.0,5.1,1
359.99,0.0,359.99,4.1,848.0,138,256.0,6.8,1
104.85,24.02,138.0,4.1,845.0,73,64.0,5.6,0
238.36,8.32,259.99,4.0,844.0,138,128.0,6.7,1
259.95,0.0,259.95,4.2,842.0,138,256.0,6.8,1
749.99,0.0,749.99,4.3,841.0,78,256.0,6.0,2
314.99,0.0,314.99,3.7,830.0,179,6.0,4.6,1
250.48,0.0,250.48,4.5,827.0,188,8.0,6.67,1
150.15,0.0,150.15,4.1,822.0,138,128.0,6.5,0
728.0,0.0,728.0,4.6,820.0,114,256.0,6.7,2
19.99,0.0,19.99,4.0,819.0,169,16.0,1.44,0
279.99,0.0,279.99,3.8,817.0,102,64.0,6.8,1
259.0,7.48,279.95,4.1,809.0,138,256.0,6.7,1
172.0,0.0,172.0,4.2,807.0,138,64.0,6.6,0
88.0,0.0,88.0,3.7,806.0,113,4.0,2.8,0
238.7,5.26,251.95,4.0,793.0,138,128.0,6.1,1
499.99,0.0,499.99,3.8,792.0,138,64.0,6.3,2
80.29,10.46,89.67,4.2,792.0,108,128.0,6.4,0
279.99,0.0,279.99,4.0,786.0,206,256.0,6.72,1
49.99,0.0,49.99,4.1,786.0,108,16.0,5.5,0
349.99,0.0,349.99,3.9,780.0,102,128.0,6.8,1
59.01,0.0,59.01,4.0,779.0,102,4.0,4.0,0
159.99,0.0,159.99,4.2,770.0,135,256.0,6.74,0
269.0,0.0,269.0,3.9,768.0,138,128.0,6.9,1
277.5,0.0,277.5,4.4,765.0,188,8.0,6.7,1
25.99,0.0,25.99,3.6,762.0,18,32.0,2.8,0
552.01,4.66,579.0,4.2,761.0,15,128.0,6.1,2
359.97,0.0,359.97,4.2,754.0,73,64.0,6.3,1
709.97,0.0,709.97,4.2,753.0,15,128.0,6.1,2
104.0,39.53,172.0,3.8,738.0,138,64.0,6.6,0
112.35,51.15,229.99,3.8,727.0,138,128.0,6.5,0
299.99,0.0,299.99,3.9,721.0,138,128.0,6.8,1
339.99,0.0,339.99,4.0,715.0,138,128.0,6.7,1
163.29,93.0,2332.71,4.3,702.0,108,256.0,6.5,0
402.0,0.0,402.0,4.5,702.0,114,256.0,6.7,2
175.42,12.29,199.99,4.3,699.0,138,128.0,6.6,0
89.59,14.68,105.0,3.8,689.0,138,3.0,6.5,0
598.65,5.47,633.27,4.2,688.0,15,256.0,6.7,2
64.99,0.0,64.99,4.0,688.0,199,0.3,1.8,0
279.99,6.67,299.99,4.0,679.0,118,256.0,6.8,1
54.99,0.0,54.99,3.4,676.0,18,32.0,5.7,0
269.0,0.0,269.0,4.1,674.0,138,64.0,5.8,1
69.99,0.0,69.99,3.5,669.0,177,32.0,6.22,0
149.99,0.0,149.99,4.4,660.0,138,128.0,6.5,0
149.5,0.0,149.5,3.9,660.0,138,64.0,6.6,0
109.0,0.0,109.0,4.1,660.0,102,64.0,6.1,0
328.97,0.0,328.97,4.4,654.0,15,512.0,6.5,1
163.75,0.0,163.75,3.9,647.0,138,128.0,6.7,0
158.6,0.0,158.6,4.5,642.0,188,6.0,6.43,0
92.0,53.99,199.95,3.9,637.0,138,32.0,6.4,0
389.99,0.0,389.99,4.5,637.0,119,128.0,6.43,1
179.0,0.0,179.0,4.0,636.0,98,16.0,2.6,0
219.5,7.58,237.5,4.3,636.0,188,256.0,6.67,1
49.99,0.0,49.99,3.8,625.0,102,16.0,5.0,0
279.0,0.0,279.0,3.8,625.0,73,128.0,6.3,1
249.0,64.38,698.98,4.1,624.0,138,128.0,6.5,1
879.0,10.31,979.99,4.4,617.0,138,512.0,6.8,2
134.0,0.0,134.0,3.6,604.0,102,64.0,6.8,0
161.79,35.28,250.0,4.4,601.0,73,4.0,6.3,0
258.8,0.0,258.8,4.6,599.0,188,8.0,6.6,1
39.99,0.0,39.99,4.0,596.0,209,16.0,5.34,0
54.68,8.85,59.99,4.3,594.0,209,32.0,6.5,0
229.99,0.0,229.99,4.0,591.0,138,128.0,6.7,1
234.37,0.0,234.37,4.7,587.0,188,256.0,6.67,1
214.99,0.0,214.99,4.7,586.0,188,128.0,6.67,1
364.0,0.0,364.0,3.8,585.0,138,256.0,6.7,1
139.99,0.0,139.99,4.0,584.0,158,128.0,6.52,0
182.0,0.0,182.0,4.3,580.0,15,64.0,5.8,0
399.99,6.97,429.95,4.2,574.0,138,256.0,7.6,1
315.0,0.0,315.0,4.3,574.0,138,128.0,6.4,1
199.99,0.0,199.99,4.0,573.0,138,128.0,6.5,0
109.99,0.0,109.99,4.2,569.0,188,2.0,6.53,0
73.0,26.99,99.99,3.8,565.0,138,32.0,6.5,0
104.0,30.66,149.99,4.1,564.0,73,64.0,6.0,0
899.99,10.0,999.99,4.1,562.0,108,256.0,6.9,2
68.99,0.0,68.99,4.4,561.0,209,16.0,5.0,0
159.5,0.0,159.5,4.3,556.0,188,128.0,6.6,0
323.5,0.0,323.5,4.4,554.0,138,256.0,6.6,1
789.98,21.0,999.99,3.9,547.0,138,128.0,6.7,2
90.0,0.0,90.0,4.0,547.0,138,32.0,6.6,0
637.95,0.0,637.95,4.5,545.0,15,128.0,6.1,2
137.42,0.0,137.42,4.3,541.0,138,128.0,6.5,0
199.99,0.0,199.99,4.1,541.0,102,32.0,6.5,0
178.89,60.33,450.98,4.1,535.0,138,128.0,6.2,0
46.99,6.0,49.99,3.4,535.0,156,16.0,2.5,0
229.99,42.5,399.99,4.2,534.0,108,6.0,6.6,1
199.0,0.0,199.0,3.8,534.0,113,128.0,6.82,0
42.99,0.0,42.99,3.9,533.0,13,4.0,2.8,0
150.0,25.0,199.99,4.0,533.0,102,128.0,6.1,0
199.99,0.0,199.99,4.1,533.0,138,6.0,6.4,0
99.99,0.0,99.99,3.8,531.0,173,8.0,6.5,0
99.99,0.0,99.99,3.8,530.0,173,128.0,6.53,0
99.99,0.0,99.99,3.6,528.0,173,128.0,6.53,0
129.98,0.0,129.98,3.8,527.0,138,128.0,6.5,0
118.95,0.0,118.95,4.1,520.0,183,2.0,5.0,0
120.0,6.98,129.0,4.0,512.0,138,128.0,6.6,0
57.0,4.98,59.99,3.5,512.0,98,32.0,5.0,0
181.0,0.0,181.0,4.3,505.0,15,64.0,6.1,0
89.99,0.0,89.99,3.3,501.0,173,64.0,6.53,0
389.0,0.0,389.0,4.4,498.0,119,128.0,6.7,1
185.0,0.0,185.0,4.8,498.0,188,256.0,11.0,0
269.98,0.0,269.98,4.0,495.0,138,32.0,5.1,1
1299.98,5.66,1377.98,4.3,492.0,138,512.0,7.6,2
71.99,27.44,99.21,3.8,488.0,108,32.0,6.5,0
699.99,12.5,799.99,4.6,487.0,119,12.0,6.82,2
439.99,51.06,899.0,4.1,487.0,68,128.0,6.7,2
389.99,0.0,389.99,4.4,479.0,119,128.0,6.43,1
322.0,0.0,322.0,4.0,478.0,138,256.0,6.7,1
330.0,0.0,330.0,4.6,478.0,188,512.0,6.67,1
90.0,0.0,90.0,3.9,478.0,157,64.0,6.82,0
267.0,11.0,299.99,4.2,477.0,15,64.0,6.1,1
265.0,0.0,265.0,4.3,472.0,188,256.0,6.67,1
236.99,0.0,236.99,4.2,472.0,138,128.0,6.7,1
129.0,0.0,129.0,3.9,472.0,138,64.0,6.5,0
199.99,0.0,199.99,4.2,468.0,119,256.0,6.67,0
489.95,0.0,489.95,4.4,468.0,138,8.0,6.4,2
159.0,0.0,159.0,4.0,461.0,138,128.0,6.5,0
439.99,0.0,439.99,4.2,461.0,138,128.0,6.4,2
621.74,0.0,621.74,4.2,456.0,15,128.0,6.7,2
154.9,8.88,169.99,4.0,455.0,138,128.0,6.5,0
142.98,0.0,142.98,3.9,452.0,138,128.0,6.7,0
382.5,0.0,382.5,4.2,450.0,188,12.0,6.67,1
109.0,0.0,109.0,3.9,450.0,134,4.0,1.3,0
278.36,0.0,278.36,3.9,444.0,138,128.0,6.7,1
124.45,0.0,124.45,4.1,444.0,102,128.0,6.1,0
360.0,0.0,360.0,4.4,443.0,138,8.0,6.7,1
329.95,20.49,414.99,4.1,439.0,73,128.0,6.7,1
69.0,0.0,69.0,3.8,438.0,113,7.8,2.0,0
159.99,0.0,159.99,4.0,437.0,102,128.0,6.8,0
122.5,5.41,129.5,4.2,430.0,108,4.0,6.5,0
279.99,0.0,279.99,4.5,428.0,188,128.0,6.67,1
297.08,11.31,334.98,4.3,427.0,138,128.0,6.4,1
399.99,42.86,699.99,4.0,424.0,108,8.0,6.9,1
83.99,0.0,83.99,3.9,423.0,138,32.0,6.4,0
389.0,0.0,389.0,4.6,423.0,127,256.0,6.67,1
799.99,28.57,1119.99,4.3,420.0,138,512.0,6.7,2
369.99,0.0,369.99,4.3,419.0,78,256.0,6.3,1
99.99,0.0,99.99,3.8,417.0,173,128.0,6.53,0
193.51,0.0,193.51,4.2,416.0,73,64.0,6.3,0
249.99,0.0,249.99,4.2,414.0,108,32.0,5.5,1
99.99,0.0,99.99,4.4,414.0,173,64.0,10.1,0
249.99,0.0,249.99,4.3,410.0,108,128.0,6.8,1
149.99,0.0,149.99,4.2,410.0,169,128.0,6.8,0
63.98,0.0,63.98,3.6,407.0,178,16.0,2.8,0
219.99,0.0,219.99,4.2,406.0,179,256.0,3.0,1
279.99,0.0,279.99,3.5,405.0,179,6.0,3.1,1
879.97,0.0,879.97,4.3,403.0,15,256.0,6.1,2
169.88,11.96,192.95,3.9,402.0,138,128.0,6.5,0
86.34,0.0,86.34,3.5,402.0,126,8.0,5.0,0
106.92,0.0,106.92,3.9,400.0,138,64.0,6.4,0
326.77,0.0,326.77,4.2,399.0,15,512.0,6.5,1
229.99,0.0,229.99,4.3,396.0,138,64.0,6.5,1
84.99,0.0,84.99,3.7,396.0,111,64.0,6.3,0
69.99,0.0,69.99,3.5,394.0,113,55.0,2.4,0
299.99,0.0,299.99,3.8,394.0,138,128.0,6.5,1
119.99,0.0,119.99,4.1,392.0,117,32.0,6.5,0
270.0,0.0,270.0,4.4,389.0,119,8.0,6.7,1
174.99,0.0,174.99,4.2,385.0,188,256.0,6.43,0
59.72,0.0,59.72,3.1,385.0,202,16.0,2.5,0
339.99,0.0,339.99,3.8,384.0,31,256.0,6.52,1
289.0,0.0,289.0,4.0,383.0,138,128.0,6.7,1
329.99,9.59,365.0,3.5,382.0,32,6.0,5.7,1
85.0,6.59,91.0,3.5,381.0,98,64.0,5.0,0
169.99,0.0,169.99,4.0,380.0,177,64.0,6.52,0
262.68,24.73,349.0,3.7,379.0,138,128.0,7.0,1
181.0,0.0,181.0,4.4,378.0,15,64.0,6.5,0
266.0,0.0,266.0,4.1,378.0,138,128.0,6.1,1
77.88,8.2,84.84,4.1,377.0,119,64.0,6.49,0
159.99,51.52,329.99,3.6,371.0,73,128.0,6.0,0
379.5,0.0,379.5,4.0,371.0,138,256.0,6.4,1
71.6,0.0,71.6,4.0,371.0,138,32.0,5.8,0
790.0,8.14,859.99,4.4,370.0,138,256.0,6.8,2
199.0,0.0,199.0,3.9,367.0,102,128.0,6.8,0
134.87,0.0,134.87,4.6,367.0,188,6.0,6.58,0
449.99,10.0,499.99,4.5,367.0,119,8.0,6.78,2
104.11,0.0,104.11,4.3,365.0,209,32.0,6.4,0
319.99,0.0,319.99,4.0,365.0,86,256.0,6.58,1
144.7,5.86,153.7,4.3,364.0,188,8.0,6.67,0
69.99,0.0,69.99,3.9,363.0,140,32.0,5.5,0
49.95,16.75,60.0,3.8,362.0,108,64.0,6.01,0
749.99,25.0,999.99,4.2,362.0,138,256.0,6.7,2
